Date,Open,High,Low,Close,Adj Close,Volume
2013-05-01,235.250000,250.000000,230.500000,248.000000,192.585648,5939199
2013-06-01,249.750000,250.000000,226.500000,249.000000,193.362198,5863683
2013-07-01,248.500000,257.500000,237.500000,243.000000,188.702866,14954729
2013-08-01,243.500000,250.000000,223.500000,236.250000,185.877533,4492746
2013-09-01,235.750000,246.000000,221.250000,236.250000,185.877533,4902940
2013-10-01,237.000000,264.750000,233.750000,260.750000,205.153717,5822094
2013-11-01,261.750000,287.250000,251.250000,282.000000,221.872879,15482078
2013-12-01,282.250000,289.000000,260.299988,271.000000,214.759109,25472009
2014-01-01,271.000000,302.399994,265.303009,298.799988,236.789780,7912162
2014-02-01,292.100006,355.000000,282.000000,351.500000,278.552917,8358476
2014-03-01,343.700012,357.700012,317.600006,324.899994,257.473175,6265399
2014-04-01,329.500000,340.700012,296.299988,307.799988,243.921997,6812835
2014-05-01,306.799988,344.730011,285.700012,320.000000,253.590088,12012269
2014-06-01,319.100006,330.500000,306.500000,322.600006,255.650543,9645171
2014-07-01,322.200012,341.700012,298.700012,334.700012,265.239441,14834947
2014-08-01,333.700012,354.299988,319.200012,344.600006,276.585938,111670655
2014-09-01,342.500000,388.000000,341.760010,366.299988,294.003021,99190658
2014-10-01,365.899994,398.899994,351.200012,395.200012,317.198975,99384861
2014-11-01,395.600006,430.399994,387.799988,423.299988,339.752869,70850079
2014-12-01,423.200012,469.899994,418.799988,462.399994,371.135651,64216665
2015-01-01,462.399994,470.000000,405.665009,435.000000,349.143585,92892511
2015-02-01,435.000000,451.100006,412.200012,440.600006,353.638306,66115314
2015-03-01,439.399994,444.500000,409.000000,412.700012,331.244995,70192039
2015-04-01,412.100006,450.000000,407.100006,424.299988,340.555481,58145426
2015-05-01,423.399994,479.500000,415.200012,475.399994,381.569763,69687889
2015-06-01,477.799988,490.802002,448.160004,453.500000,363.992249,70714451
2015-07-01,458.100006,480.299988,439.299988,455.799988,365.838287,62015931
2015-08-01,454.000000,465.200012,398.899994,431.399994,346.254150,63853831
2015-09-01,425.000000,433.299988,405.899994,424.399994,345.568878,68837703
2015-10-01,428.100006,461.299988,423.200012,461.299988,375.614777,53712791
2015-11-01,457.600006,488.454987,448.980011,484.700012,394.668365,46445231
2015-12-01,488.200012,501.500000,464.399994,500.000000,407.126373,50278091
2016-01-01,500.000000,506.500000,414.700012,473.700012,388.239197,60612099
2016-02-01,475.200012,477.200012,415.399994,435.700012,357.094849,58251700
2016-03-01,435.500000,448.299988,416.299988,426.299988,349.390625,50023684
2016-04-01,423.500000,440.600006,405.399994,425.200012,348.489136,56161920
2016-05-01,425.200012,461.700012,409.500000,440.000000,360.619049,46365306
2016-06-01,440.700012,440.700012,242.000000,320.000000,262.268372,107744379
2016-07-01,323.100006,355.399994,276.200012,349.500000,286.446259,107157017
2016-08-01,352.600006,387.100006,333.299988,370.700012,303.821564,60346422
2016-09-01,372.200012,391.200012,354.600006,368.500000,307.177765,74616193
2016-10-01,366.600006,378.700012,307.730011,314.700012,262.330658,88676890
2016-11-01,314.799988,348.399994,305.798004,331.799988,276.585022,81210931
2016-12-01,335.899994,373.279999,332.700012,354.600006,295.590820,70696574
2017-01-01,354.600006,359.000000,310.000000,315.899994,265.970276,111103764
2017-02-01,316.899994,318.899994,294.600006,303.000000,255.109222,100518364
2017-03-01,303.299988,319.299988,294.500000,317.600006,267.401642,119313215
2017-04-01,316.799988,342.000000,302.862000,335.500000,282.472412,81572808
2017-05-01,335.500000,349.600006,318.395996,328.600006,276.662994,85127320
2017-06-01,330.100006,332.500000,281.000000,283.600006,238.775497,50611022
2017-07-01,285.299988,292.899994,258.010010,269.000000,226.483093,120730488
2017-08-01,269.399994,274.000000,155.399994,173.399994,145.993195,181120556
2017-09-01,168.600006,198.300003,163.100006,193.399994,168.377899,197171924
2017-10-01,194.199997,198.326996,172.000000,173.399994,150.965485,142584310
2017-11-01,173.800003,174.050003,145.720001,158.899994,138.341492,276657041
2017-12-01,159.000000,202.300003,156.899994,199.000000,173.253372,154467293
2018-01-01,199.000000,208.100006,185.649994,195.699997,173.399704,167398765
2018-02-01,196.149994,201.500000,182.000000,196.600006,174.197174,105935988
2018-03-01,197.000000,197.000000,170.649994,186.550003,165.292374,128090825
2018-04-01,186.550003,213.600006,182.649994,203.000000,179.867874,122899180
2018-05-01,203.500000,235.699997,170.000000,185.000000,163.919006,145487172
2018-06-01,190.699997,201.800003,185.100006,186.600006,165.336685,141163704
2018-07-01,185.399994,195.000000,171.000000,176.899994,156.741989,100027207
2018-08-01,176.850006,180.699997,161.949997,165.300003,146.463837,91865976
2018-09-01,165.550003,174.850006,158.500000,169.649994,157.518173,117306285
2018-10-01,170.699997,171.600006,152.000000,169.449997,157.332489,72410496
2018-11-01,168.250000,180.600006,157.899994,161.699997,150.136688,76041861
2018-12-01,163.250000,165.199997,113.550003,120.099998,111.511559,76259815
2019-01-01,120.099998,156.000000,116.199997,137.949997,130.480682,89238246
2019-02-01,136.699997,139.850006,127.199997,132.750000,125.562241,68104720
2019-03-01,132.649994,148.350006,127.050003,146.750000,138.804214,68612863
2019-04-01,147.649994,150.199997,136.449997,145.100006,137.243561,49777342
